cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
80.227.184/0001-66,METALGRAFICA IGUACU S.A.,Fabrica de Embalagens Metálicas Para Alimentos,131420407,-16466916,0,127542159,38271690,143083675,422596,0,104180762,24663058,130985214,1539818,3977,86344244,24240462,143284353,-15277559,0,87660076,22843215,116937405,-16068435,0,77080520,7649960,81492904,-14018029,0,76019987,17885504,67103,-28546,0,71733,22710,51691,-5267,0,81210,45638,69056,1456,273,68926,49122
92.690.783/0001-09,METALURGICA GERDAU S.A.,Participação E Administração,39644010,1654558,240400,54048736,27227253,46159478,2089401,646871,51344416,25372471,36917619,-109805,313758,50351780,23342353,37651667,-2852215,117152,54758969,23354348,43581241,-6500517,183225,70218773,30472262,42546339,1109673,586050,63253424,31240657,39863037,1246690,331688,58503964,30169539,37981668,1350754,327087,53370116,26818352,0,0,0,0,0
85.778.074/0001-06,METALURGICA RIOSULENSE S.A.,Industria Mecâno Metalúrgica,168072,21664,7050,189433,-2617,145185,14898,4710,173930,-19918,122529,12828,1314,197805,-31747,109031,-18646,0,166643,-68485,114195,-38686,0,175352,-52793,136048,-2099,0,185541,7499,135423,-8948,0,185356,448,109373,-22979,0,182120,6457,143152,-5476,0,194917,22006
86.375.425/0001-09,METISA METALURGICA TIMBOENSE S.A.,Fabricação de Máquinas E Equipamentos Para A Agricultura E Pecuária. Peças E Acessórios. Exceto Para Irrigação.,288796864,23884112,6240901,308829927,241512232,270730343,21460665,4970397,279987207,230640157,240176654,15376484,2399486,272052911,219916914,218018274,17858657,4652050,316950097,211494127,221960607,22254500,7206839,412055200,202686772,236661996,26247732,7542601,404523754,192281408,247547249,30686521,8730755,348714588,183038398,224629683,30011164,7951239,261793833,178462236,209955995,23956386,7405758,286567639,166063219
