cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
84.683.374/0001-49,TUPY S.A.,Produtos Fundidos Para Os Setores de Transporte de Carga. Infraestrutura E Agricultura / Conexões em Ferro Fundido Para Aplicações em Redes Hidráulicas E de Gás / Perfis,5163585,338570,91916,5124167,2387403,4828216,357268,85420,4908191,2199963,3706151,133937,15920,4609156,1983318,3255310,-236996,118534,4769806,2007132,3426996,336804,77326,5751180,2409665,3114661,167205,35639,4962930,2032374,3122984,123017,68031,4507010,1901901,2671120,102630,35010,3801254,1185855,2185548,278257,66598,3419980,1096631
33.256.439/0001-39,ULTRAPAR PARTICIPACOES S.A.,Distribuição de Combustíveis. Químicos. Armazenagem Para Granéis Líquidos E Varejo Farmacêutico,89297975,781553,476074,31195472,9835175,90697983,1771039,476302,30499395,9800029,79230014,2339119,922458,28284346,9624038,77352955,2270610,800497,24159670,8558558,75655274,2247308,719523,20713061,7974129,67736298,1824701,551743,19329612,7726595,60940246,1801435,481726,16378545,6546886,53868926,1448047,312888,15249554,6006078,48661304,1155687,215049,13697701,5566693
90.441.460/0001-48,UNICASA INDÚSTRIA DE MÓVEIS S.A.,Indústria. Comércio. Prestação de Serviços. Importação E Exportação de Produtos Relacionados Ao Ramo de Mobiliário em Geral. Planejado E Modulado de Madeira. Ferro. Aço. Alumínio E Outros Materiais.,149350,25176,4,228253,160042,149306,6569,0,216982,171266,157941,-9992,0,216363,167872,185056,-22947,0,233720,174229,222652,16056,878,267816,198493,243521,-9499,614,269982,192889,257919,15411,4449,256886,205303,0,0,0,0,0,0,0,0,0,0
04.437.534/0001-30,UNIDAS S.A.,"A Plataforma de Negócios Da Companhia É Composta Pelas Divisões de (i) Terceirização de Frotas. Também Designada ""fleet"". (ii) Aluguel de Carros. Também Designada ""rac"" E (iii) Venda de Seminovos.",3134415,269786,0,5643629,1389033,2019260,164149,0,3945562,846583,1613851,76756,0,2911139,808733,1278609,57535,3054,2171206,776682,1125455,55128,1647,1902257,748629,1000591,62624,4910,1762850,724518,827024,47191,11491,1663823,675891,671310,7521,3053,1278986,613381,670934,-64121,511,1214753,534067
33.958.695/0001-78,UNIPAR CARBOCLORO S.A.,Atuar No Setor de Soda. Cloro E Derivados. Podendo Participar Como Sócia Ou Acionista de Outras Sociedades. Direta Ou Indiretamente. Inclusive Por Meio de Fundos de Investimentos.,3048730,256610,129289,3718821,1483223,3469133,676737,135035,4042630,1445942,3019592,336861,51260,3466377,1072831,889706,468607,47027,3494699,1286159,0,0,0,0,0,0,0,0,0,0,187309,353615,0,1613217,742033,0,37388,0,644467,411906,0,4293,0,762396,381293
02.162.616/0001-94,UPTICK PARTICIPACOES S.A.,,0,15618,0,96120,92249,0,13822,0,87172,82120,0,11211,0,84672,79114,0,10670,0,84750,80366,0,11159,0,80242,77053,0,12723,0,74613,68801,0,11931,0,77474,72133,0,14289,0,72233,66516,0,13506,0,69272,66721
60.894.730/0001-05,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,Venda de Produtos Siderúrgicos. Como Chapas Grossas. Laminados A Quente. A Frio. Placas. Galvanizados. Entre Outros.,14948719,442672,138960,26337032,15565684,13736780,1235316,98228,26523851,15697391,10734118,420950,59038,25984477,15183964,8454200,-251748,17951,26254745,15191634,10185570,-4874899,17282,27758332,14993857,11741629,183917,19425,30484062,18761615,12829467,-194329,268044,31357994,18833945,12710881,-798731,129729,32773820,18513073,0,0,0,33353052,19014205
33.592.510/0001-54,VALE S.A.,Mineração,148639921,-11205011,5985191,369670328,157149353,134483126,25118225,2806055,341714838,173682178,108532022,24884148,2663967,328096703,148105642,94633264,27021956,3306500,322696154,133701739,78057424,-64675362,1148432,345549435,139419590,82618915,6063302,2375785,309415532,149601623,101489747,14993483,17367505,291880311,152122066,91269482,6928084,4939350,266921654,152909437,100555680,46062671,9064530,237088552,145383333
33.113.309/0001-47,VALID SOLUÇÕES S.A.,Impressão de Documentos de Segurança.,2007962,69824,32715,2518442,1117107,1734312,126433,29909,2247239,1088443,1574474,64412,27294,2059765,990695,1723850,67446,36425,2074697,992150,1637407,173936,49332,2156239,1078226,1296056,149577,39721,1296214,590561,1174992,120226,43351,1172956,543470,896702,150491,39306,1095868,512449,0,0,0,899179,503310
25.005.683/0001-09,VERT COMPANHIA SECURITIZADORA,A Aquisição E Securitização de Quaisquer Direitos Creditórios Do Agronegócio E de Títulos E Valores Mobiliários Lastreados em Direitos de Crédito Do Agronegócio E Direitos de Crédito Imobiliários,4112,478,136,2150,1526,2991,1728,482,2647,2205,1637,592,117,1283,1242,0,-420,0,1206,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.041.260/0652-90,VIA VAREJO S.A.,,25655000,-2004000,0,24424000,578000,0,0,0,23294000,2273000,0,0,0,0,0,19819000,-63000,0,17527000,2808000,19268000,80000,0,16288000,4246000,22674000,1412000,287000,16004000,4715000,21756000,1687000,188000,13458000,3950000,0,0,0,0,0,0,0,0,0,0
33.839.910/0001-11,VIVARA PARTICIPAÇOES S.A,Participação em Outras Sociedades. Na Qualidade de Quotistas. Ou Acionistas; Holding de Instituições Não-financeiras; E Agente de Propriedade Intelectual.,749666952,317242734,60151083,1879528915,1089724336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67.571.414/0001-41,VIVER INCORPORADORA E CONSTRUTORA S.A.,Incorporadora E Construtora Presente em Todas As Regiões Do País E Com Foco de Atuação No Mercado Residencial. Particularmente Nos Segmentos de Média E Baixa Renda.,-145261,-220602,660,512942,-134155,85028,-190656,10269,647844,46112,5935,-168987,-47582,821007,-65964,-17954,-349626,3927,984399,-509494,111989,-259406,3516,1307012,-184712,158324,-230410,6764,1531576,81513,518809,-273297,13767,1976902,315012,255913,-430384,25720,2449386,590238,615454,-90900,14808,3074562,1027560
50.926.955/0001-42,VULCABRAS/AZALEIA S.A.,Representantes Comerciais E Agentes Do Comércio de Têxteis. Vestuário. Calçados E Artigos de Viagem.,1359985,146896,0,1355158,1087428,1248963,153591,0,1326773,941462,1263082,191093,0,1120485,784573,1134220,36764,0,1078668,51863,965875,-60196,0,1237154,35754,1037025,-87593,-3351,1271514,61009,1326837,-126296,418,1267560,133474,1483125,-246102,1773,1375440,5649,1529197,-349036,1451,1558204,213030
84.429.695/0001-11,WEG S.A.,A Weg Sa É Uma Sociedade de Participação Não Operacional (holding) E também Sociedade de Comando Do Grupo Weg.,13347434,1804451,217098,15687641,8929990,11970090,1497542,188185,15399850,7853257,9523830,1240448,167681,13981142,6838462,9367008,1279514,245415,13509331,6070832,9760323,1303728,234116,14261541,6156060,7840757,1227929,271583,11782630,5139263,6828896,1084879,274859,10141293,4642267,6173878,864102,228859,8873550,4151626,5189409,766126,182956,9105861,3906589
84.683.671/0001-94,WETZEL S.A.,Fabricação de Peças E Acessórios Para Sistema Motor de Veículos Automotores,179144,-38671,0,173583,-209922,162996,-31940,0,178886,-170801,121573,-15777,-7,179515,-138377,121671,-13705,8,195649,-144775,151711,-75853,0,185098,-123301,195651,-52747,69,226169,-50740,228440,7838,498,212616,-9450,190591,-2787,0,199446,-14431,234030,-1541,0,196884,919
59.105.999/0001-86,WHIRLPOOL S.A.,Fabricação E Comercialização de Eletrodomésticos E Compressores,7742151,1115115,412040,7634362,3019055,6608799,248127,80344,7779990,2190366,6386882,425737,107484,7789056,2374681,9218765,433242,108223,6569138,2544790,9387172,514399,217359,6749442,2509249,9659403,976475,162451,6325000,2133208,9334857,1025208,188941,6576714,2464736,8457901,824061,173729,5968374,2131711,7465334,324353,17903,5258175,1811184
05.721.735/0001-28,WILSON SONS LTD.,Terminais Portuários. Rebocagem. Offshore. Logística. Agenciamento Marítimo E Estaleiros.,1602226,206829,92019,4639629,2005282,1677470,264572,109825,3682087,1999841,0,0,0,0,0,1585363,422176,131279,3379128,1683286,1683248,240639,126772,3722183,1694716,0,0,0,0,0,1546364,202096,78598,2527172,1211120,1247260,173305,74736,2183350,1025533,0,0,0,1825877,898404
42.278.473/0001-03,WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.,Corretagem de Seguros de Todos Os Ramos. Assessoria E Consultoria Na área de Seguros em Geral. Intermediação E Desenvolvimento de Soluções em Negócios. Sem Especificação Definida. Dentre Outros.,681935,361258,129735,586297,196879,585005,276673,99421,482034,176868,529726,251105,92586,616111,167094,403747,222477,77530,199013,122119,363800,164974,67847,180518,116622,274383,130057,43813,157177,98927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.228.024/0001-51,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,Comércio A Varejo E Por Atacado de Caminhões. Automóveis. Camionetas E Utilitários Novos E Usados. holding de Instituições Não-financeira.,1083618,58610,16126,515472,420525,757268,23385,7129,506836,388548,489743,-5089,1377,473834,375177,421470,-17337,1506,518539,423388,496844,6320,2514,518925,443689,864876,18995,10767,579580,484437,1134715,38227,18257,689017,479843,812481,68308,13071,658138,492516,939162,58767,20359,561606,465091
08.807.432/0001-10,YDUQS PARTICIPACOES S.A.,Desenvolve Principalmente Nas áreas de Educação de Nível Superior. Nas Modalidades Presencial E A Distância. Educação Profissional E/ou Outras áreas Associadas à Educação.,3565036,657928,49803,5512492,3102352,3619377,653180,57284,4102463,2591409,3378979,432058,41156,4021095,2777257,3184505,372793,20811,4141152,2434673,2931466,436827,31186,4281612,2572965,2383549,365381,24002,3470159,2329628,1731010,256736,13765,2138651,1517642,1383288,114927,3744,1239810,707035,1148437,75226,1469,1068718,618935
