cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
02.558.157/0001-62,TELEFÔNICA BRASIL S.A,Prestação de Serviços de Telecomunicações. Exploração de Serviços de Valor Adicionado E Soluções Integradas.,44268171,6394535,101246,108289722,70455578,43462740,11277490,832485,102561318,71607027,43206832,5730773,580578,101382835,69461358,42508459,5134722,288063,102066259,69244419,40286815,4393456,939500,101685064,68567242,34999969,4753974,567014,73065288,44950095,34721897,4662364,616895,69541075,42894442,33919656,6920244,1627439,70251092,44681120,29116644,5655100,925558,65488561,43330785
10.502.676/0001-37,TERMELÉTRICA PERNAMBUCO III S.A.,Implantação E Exploração de Empreendimentos de Geração de Energia Elétrica E Infra¬estrutura correlata. Comercialização de Energia Elétrica Gerada em Tais Empreendimentos.,195410,-103962,0,412128,-322546,115106,-73306,0,445747,-218584,91842,-94957,0,467434,-144310,140616,-68986,0,527049,-80605,364111,-92033,0,567479,-2329,664214,-77517,0,744214,99051,20178,-32816,0,591032,149131,0,-1083,0,135262,5708,0,1334,402,70166,66791
02.664.042/0001-52,TERMINAL GARAGEM MENEZES CORTES S.A.,,29356,6675,3616,121246,117532,31345,10968,3811,123748,118449,38306,16214,4632,125236,117586,48602,26024,5864,127525,119066,50601,29005,6067,124395,118724,49816,28575,5924,123129,117956,49946,28694,5983,137665,125539,43636,23147,5222,136441,121913,40687,20869,4875,135193,121692
03.795.050/0001-09,TERMOPERNAMBUCO S.A.,,1039411,201617,18152,2260028,868360,1030053,96760,8561,2265329,783660,1166596,126837,14973,2452511,724253,985182,78919,0,2176595,636516,835276,-164343,1380,2204799,533410,917642,-144537,1558,1908021,537888,0,0,0,929526,413913,0,0,0,0,0,0,0,0,0,0
05.799.312/0001-20,TERRA SANTA AGRO S.A.,- Produção E Comércio de Produtos Vegetais (soja. Milho E Algodão) - Industrialização E Comércio de Biocombustíveis. óleo Vegetal E Subprodutos,961227,-151907,1282,2488577,943019,1119007,33715,0,2325009,940005,796315,-42048,0,2222459,991920,842275,-164126,6,2102087,977636,931127,-198435,359,2396399,1022039,787346,-148889,1045,2510005,1246445,730399,-310526,2739,2419546,1272374,809493,-87932,2088,2704275,1490322,315623,-106691,5097,2727017,1289126
82.982.075/0001-80,TEXTIL RENAUXVIEW S.A.,Fiação E Tecelagem de Algodão,105061,21477,0,184355,-291372,87326,-11304,0,175161,-312806,84949,96847,0,178094,-303497,86151,-84565,0,183946,-464809,76309,-148740,0,182857,-380223,87968,-40595,0,110803,-231483,90166,-18190,0,122379,-198001,75142,-36055,0,198523,-179640,142176,-15076,40,252505,-120534
02.421.421/0001-11,TIM S.A.,,17377194,4774723,66483,39857182,22058807,3367619,708724,141209,31368450,19380789,736137,66383,25477,2038833,1097412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.113.791/0001-22,TOTVS S.A.,Prestação de Serviços de Consultoria. Assessoria E Desenvolvimento de Sistemas Informatizados (software). Atividades de Pesquisa E Inovação Tecnológica. Prestação de Serviços Relacionados à Gestão.,2282124,324027,54628,3535927,2478409,2111160,184676,41978,2391277,1288220,1992911,99974,26735,2493625,1261577,2183786,175521,38260,2443912,1220916,1908737,254834,69250,2662075,1237732,1772447,360258,96957,2143866,1118062,1611794,316367,90277,1848780,1069838,1413976,288197,89958,1420621,913146,1279160,208452,41179,1337848,749867
03.014.553/0001-91,TPI - TRIUNFO PARTICIP. E INVEST. S.A.,A Triunfo Atua Nos Segmentos de Concessões Rodoviárias. Aeroportuária. Geração de Energia E administração Portuária.,991701,-356722,3914,3746906,751218,1195768,-438455,23400,3982493,977909,1492741,-204638,50916,4648833,1344147,1543003,-244328,42294,4974355,1111301,2452892,178991,53636,5468390,1467135,1728191,-540052,41542,5494972,1433816,843042,110463,57432,4939438,2101335,834546,476473,64405,4520491,1968405,695417,5123,51017,3403687,1360542
59.418.806/0001-47,TRACK & FIELD CO S.A.,Atuação No Varejo Dos Setores de Vestuário. Acessórios E Calçados. Dentre Outros.,218112,36240,12987,274559,12692,201288,28697,9574,145540,100621,205045,45817,12683,134704,91216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Transmissão de Energia Elétrica.,1794959,1146197,4014,11229976,4926795,1635237,1218668,86611,8616294,4572052,1077059,703664,127554,8054820,4347552,1391074,970338,132439,8410617,4307588,1542465,1069370,-26150,8862458,4377065,1495804,1101437,53570,8658788,4224632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.660.570/0001-26,TREVISA INVESTIMENTOS S.A.,Part. Capital Outras Empresas Qualquer Setor Económico. locação de Conjuntos Comerciais.,119040,16523,6026,188813,101327,129768,13562,8051,194582,105113,102291,9253,5449,186390,101138,93265,13047,4215,187566,99172,74441,10255,3537,174145,92558,63508,6049,2152,154518,86302,59809,5758,1692,141669,84465,47381,5184,848,137237,82405,53517,8050,1246,135218,79964
02.509.186/0001-34,TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.,Exploração Do Sistema Rodoviário Relativo Ao Lote 09.,508089,302064,100920,1064979,389243,471703,237492,58189,1208543,357245,513450,259792,79928,1350812,368283,471451,263014,77521,1198922,369797,467447,269728,89802,1243350,373369,422696,254540,85683,1085718,211305,398796,220642,73798,1037365,174168,363780,169512,59064,990536,171576,308122,148083,49652,462316,140559
08.811.643/0001-27,TRISUL S.A.,Incorporadora E Construtora,798671,168305,15626,1798507,1093132,545246,89463,10554,1087083,600491,441677,45028,8935,939490,547867,302468,9348,8918,871065,523991,379555,33032,8992,959648,546365,370025,49050,14016,1102593,570226,520095,70973,22817,1238526,598914,672486,83069,27719,1654735,587213,782288,-9560,27954,1835004,563180
15.115.504/0001-24,TRONOX PIGMENTOS DO BRASIL S.A.,,589335,111292,3188,789406,577532,636045,157037,7568,669800,498006,568230,98561,8717,625428,439481,484948,90399,3913,644348,421779,422591,-16556,9088,562292,341905,394689,-18782,10119,521495,362820,404945,11082,10403,559648,421449,455774,64339,13802,608513,412375,381413,41148,10666,499844,375590
12.130.744/0001-00,TRUE SECURITIZADORA S.A.,(i) Aquisição E Securitização de Créditos Imobiliários E Direitos Creditórios Do Agronegócio (ii) emissão E Colocação No Mercado Financeiro de Certificados de Recebíveis Imobiliários E Do agronegóci,17142,7596,2523,5017,2340,14444,6029,2002,5804,3500,5898,6563,2188,4599,3761,5470,5645,1880,4356,480,3741,1380,633,3703,1189,7447,3600,1368,4638,1751,1927,644,191,1540,480,0,-116,0,56,52,0,-145,0,77,68
