cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
28.127.603/0001-78,BANESTES S.A. - BCO EST ESPIRITO SANTO,Intermediação Financeira Inerente Aos Bancos Múltiplos Por Meio Das Carteiras Autorizadas. Inclusive Operações de Câmbio.,2100564,215186,0,23788780,20996162,2164884,153733,0,27975320,25404196,2651708,167367,0,22859145,20441795,2898343,145748,0,25763824,23392257,2238017,156364,0,18394514,16108126,1752613,142849,0,15289994,13237515,1368555,113476,0,14274712,12385893,1214090,73403,0,12682310,10922799,1241816,80285,0,10314985,8736739
60.851.615/0001-53,BARDELLA S.A. INDUSTRIAS MECANICAS,Bens de Capital. Produtos E Serviços Para Os Segmentos de Metalurgia. Movimentação de Materiais. óleo E Gás. Energia E Aços Laminados E Trefilados. Para Os Mercados Nacional E Internacional,38038,-249245,0,728221,-97690,93699,-98167,1719,848270,106730,136638,-115251,3907,838044,211966,264736,-125642,311,902838,321011,446432,-9706,481,836155,325091,478936,4255,434,789837,337133,424949,-40318,704,759849,359975,310080,-34906,71,713695,410179,513041,40482,3459,788355,450039
42.331.462/0001-31,BATTISTELLA ADM PARTICIPACOES S.A.,Com.de Caminhões E ónibus Scania. Seus Acessórios E Prest.serv.assist.técnica; Industrializ.e Com. de Madeiras; Prestação de Serviços Sob A Forma de Trading Company; Partic. em Outras Sociedades.,470723,11594,1925,130513,10087,358889,-11877,290,143176,418,215719,-23546,501,130410,10771,149636,-6610,-2,282436,133993,340339,81970,13,228732,31892,863873,-27176,-2066,267345,-64810,1193451,-3153,787,352006,-37208,789062,-27130,7224,289696,-65314,939865,-28782,20341,360063,-30533
