cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
07.206.816/0001-15,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,Produção E Comercialização de Biscoitos. Massas. Farinha de Trigo E Farelo. Margarinas E Gorduras. Bolos. Snacks. Mistura Para Bolos E Torradas.,6103608,568979,37170,8101031,6034953,6025054,797068,11379,7807466,5561843,5415422,915477,38976,6089765,4991911,5328071,832176,47370,5681045,4333606,4622164,642085,12808,5099577,3716945,4579890,656084,23952,4478247,3285643,4311638,564363,19117,3884901,2820095,3545152,507810,20358,3426892,2410618,2911033,402617,16016,3058156,2005773
08.795.211/0001-70,MAESTRO LOCADORA DE VEICULOS S.A.,A Companhia Presta Serviços de Locação de Veículos E Gestão de Frotas.,91948,1279,631,259284,49658,62283,-1430,0,216975,48742,70989,1050,629,136315,49902,59983,-1103,212,121582,49520,61230,-5561,0,107728,36696,43991,2687,0,99379,45380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.960.950/0001-21,MAGAZINE LUIZA S.A.,Somos Uma Rede Varejista E Atuamos Com Foco Na Comercialização de Bens Duráveis No Brasil.,19886310,1218150,0,19791073,7564937,15590444,786863,0,8796741,2302872,11984250,476873,0,7419513,2073977,9508745,77096,0,6100606,621586,8978259,-147129,0,5501981,575656,9779385,130186,0,5250999,667911,8088439,131004,0,4713904,694611,7066770,-37335,0,4107744,615992,6419371,47937,0,3504224,620945
60.476.884/0001-87,MAHLE-METAL LEVE S.A.,Industria E Comércio de Peças E Componentes Para Motores A Combustão,2526238,304068,38565,2327651,1296954,2591654,355341,76419,2316131,1352941,0,0,0,0,0,2236007,-41346,31617,2354914,1215718,2423356,253171,73659,2477941,1290762,0,0,0,0,0,2393752,278559,62314,2427735,1374259,2316866,251069,21076,2563236,1339523,0,0,0,0,0
61.065.298/0001-02,MANGELS INDUSTRIAL S.A.,Produção de Relaminados. Trefilados E Perfilados de Aço. Exceto Arames.,556332,-3989,2685,366686,-370634,476738,-44249,0,348704,-364125,445983,-33753,954,336697,-317747,427533,4993,395,363758,-293428,427477,-142361,1277,397193,-298026,449941,-43472,883,417625,-154388,460995,-92701,885,448615,-110059,474319,-21987,4423,674913,27201,476085,-14342,5238,818232,193919
61.082.004/0001-50,MANUFATURA DE BRINQUEDOS ESTRELA S.A.,Fabricação de Brinquedos E Jogos Recreativos,112155,-40874,0,205960,-478535,135269,-28557,0,208833,-437551,142743,-43580,0,225237,-435998,140950,-62480,0,227687,-392417,169010,-41596,3300,224356,-329938,210814,-19180,6213,230639,-285042,130984,-34183,2202,186980,-259649,120521,-24452,0,164477,-213481,106078,-48519,0,150238,-191719
88.611.835/0001-29,MARCOPOLO S.A.,Indústria E Comércio de ónibus E Carrocerias Para ónibus. Suas Partes. Peças E Componentes,4314534,245201,36595,5193678,2358412,4197468,209303,43006,5147704,2134631,2875993,92973,33267,4732252,1928612,2574093,370237,142369,4968269,1868517,2739132,127717,44268,5038863,1862183,3400194,276363,56111,4438565,1671011,3659309,390249,85640,4117840,1533991,3369939,400924,97994,3329423,1312444,2900259,480866,163089,3219277,1171492
03.853.896/0001-40,MARFRIG GLOBAL FOODS S.A.,Produção E Distribuição de Alimentos à Base de Carne Bovina. Suína. Ovina E Avícola. In Natura. Elaborados E Processados. Couros Semi-terminados E Terminados. Além de Outros Produtos Alimentícios.,48761057,1352627,-193814,31572021,1776341,29715176,-1886885,-1301812,26504272,4011557,10127696,-1464579,-238529,21301799,2634710,19333453,-1021540,47781,20258803,1100802,19549362,-2065224,70681,20603479,843632,15208758,-1120489,125298,20185908,2071725,18752376,-1164240,20199,17827564,3119022,16516366,11249,318165,25589454,4305092,21014111,-1320087,33135,23823441,3419214
61.189.288/0001-89,MARISA LOJAS S.A.,Comércio Varejista de Artigos Do Vestuário E Acessórios. Prestação de Serviços de Correspondente Bancário. Intermediação de Negócios E Congêneres. Atuação Como Representante de Seguros.,2882422,-79944,31334,4020068,1420006,2764130,553248,184816,3162102,973651,2875577,-8559,90911,2832732,959640,2852785,-144915,37147,2644049,1011636,3164906,-76008,44974,2832135,1118845,3344593,56431,82161,2975990,1155878,3096990,119350,66249,2576323,1107738,2877388,290295,57647,2440691,1039049,2450315,224927,57796,2432599,857765
14.110.585/0001-07,MÉLIUZ S.A.,Portal Virtual Para Veiculação E Divulgação de Marcas. Produtos E Outros Materiais. Locação de Espaço Publicitário. Intermediação de Negócios. Licenciamento de Softwares E Participação em Sociedades.,81504,8310,2036,37812,22894,44533,-7519,0,20936,7860,25919,-16285,0,23516,15379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.181.987/0001-77,MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,Construção. Incorporação. Loteamento E Comercialização de Condomínios E Empreendimentos Imobiliários de Qualquer Natureza.,562893,67923,12278,1224420,500361,591661,76618,10653,1160276,465415,457410,93231,0,1109311,397967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.040.601/0001-87,MERCANTIL BRASIL FINANC S.A. C.F.I.,Crédito. Financiamento E Investimentos,100019,28026,3039,409365,0,168547,42681,5450,468819,0,305097,51102,5491,838345,0,256107,-8,0,871108,0,348779,-27514,0,1239079,0,303181,308,3025,1709910,0,211237,30006,8936,1337948,29,76722,24613,5430,685333,128,53074,12505,829,297347,323
04.821.041/0001-08,METALFRIO SOLUTIONS S.A.,Fabricação E Comercialiazação de Geladeiras E Similares. de Máquinas de Vendas Automáticas. Componentes E Peças,1480776,85322,12163,1627345,127294,1196896,16069,12828,1388819,87447,985748,-16814,3797,1278901,97881,1013663,39261,874,1098571,121814,1017742,-98685,9979,1205377,37406,881435,-91481,3905,1136694,180611,813114,-30214,4207,1210307,268454,701789,6304,3029,980021,279517,755241,10287,9480,930559,257169
