cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
04.986.320/0001-13,SER EDUCACIONAL S.A.,Desenvolvimento E A Administração de Atividades E Instituições No Setor de Educação E Outras áreas Associadas; Administração de Bens E Negócios Próprios; E Participação em Outras sociedades.,0,0,0,0,0,1262486,208611,7332,2429560,1470543,1231785,201915,3689,2507874,1508390,1125380,235893,5791,2018564,950400,1020261,172543,11882,1848588,757233,705067,230162,16298,1249163,626652,456761,121496,5199,803365,451366,0,0,0,0,0,0,0,0,0,0
61.156.931/0001-78,SIDERURGICA J. L. ALIPERTI S.A.,Fabricação de Peças E Acessórios Para O Sistema de Direção E Suspensão de Veículos Automotores,44533,-15635,0,437502,236557,32007,-9400,0,417753,232043,33954,-24610,0,421997,244919,33710,-12236,0,425034,277211,64753,6639,0,423372,278044,68443,10921,0,434671,268770,68979,9664,0,422083,266377,79768,17962,0,405921,246833,72227,10875,0,408117,239709
07.415.333/0001-20,SIMPAR S.A.,Participação em Outras Sociedades Empresariais. Como Sócia Ou Acionista.,9600468,363806,112772,21173879,2549984,7972569,190653,90388,16738475,1428036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04.065.791/0001-99,SINQIA S.A.,"Produção. Desenvolvimento. Licenciamento. Sublicenciamento E Distribuição de Programas de Computador (""software"") E Outras Atividades. Conforme Descritas No Estatuto Social Da Companhia.",175153,-7692,3174,619992,431603,142109,5046,3949,167430,85350,134909,9757,1066,157501,75607,84558,11331,3260,155324,70249,75304,9344,-514,98204,66082,71011,11219,1808,86079,59900,51195865,8066926,559753,79489779,57076517,46245501,8405620,2378675,33704203,14110013,38748247,3659162,534579,24872965,10375037
89.096.457/0001-55,SLC AGRICOLA S.A.,Produção E Comercialização de Algodão. Soja. Milho. Entre Outros.,3040656,414662,90856,6958129,2984421,2823468,585081,97023,5755537,2794753,2219901,500990,77161,5293685,2701827,1659649,-4161,27061,5453376,2628886,1761581,166654,33038,5309633,2392263,1499175,89072,43520,4498634,2393008,1181520,125584,46441,4261078,2137012,1118743,72531,30524,3698602,1993625,1005640,241179,20705,3584453,1920236
