cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
02.860.694/0001-62,T4F ENTRETENIMENTO S.A.,Atuação No Setor de Entretenimento Ao Vivo. Através Da Operação de Casas de Espetáculos E de Bilheterias. Da Comercialização de Alimentos. Bebidas E Produtos Promocionais E Da Negociação de Patrocínio,393694,-85609,699,623274,276624,598383,27809,8448,681871,334480,652895,69830,10873,697484,326785,792454,46502,8006,538390,287590,550979,25396,3276,836384,272091,552939,-74914,2730,480382,256399,551323,-14524,2637,678850,332766,694236,-15779,9146,619755,354443,609825,106916,10163,673898,338028
92.781.335/0001-02,TAURUS ARMAS S.A.,Indústria E Comércio de Armas,999581,25179,11988,1066440,-304621,845287,-137332,1864,921156,-406963,695258,-271088,-13593,768958,-445233,830273,-100949,-3980,893057,-171901,823809,-279502,-5889,1022340,-60116,591536,-185041,479,979763,52115,807340,-57566,21418,1184094,145993,700971,39614,23110,1114304,201780,617968,53336,13935,1114327,325235
12.919.786/0001-24,TCP TERMINAL DE CONTEINERES DE PARANAGUA SA,Exploração de Instalações Portuárias E de área. Atividade de Operador Portuário. De movimentação E Armazenagem de Carga E Contêineres. Veículos Automotivos. Bens. Produtos E equipamentos.,668818,73187,19091,3331667,208136,657405,89787,26447,3343341,245929,556737,116634,32604,3257467,180696,466905,-13636,0,3360123,120930,449606,58797,7406,1319708,132289,405305,77523,10438,1344665,132003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09.295.063/0001-97,TECHNOS S.A.,A Companhia Tem Por Objeto Social A Participação em Outras Sociedades. Como Sócia Ou Acionista. No País Ou No Exterior.,316225,-131828,0,676091,344485,305696,1347,0,792471,465688,340077,-15272,0,703935,453785,360873,1855,-178,742508,463773,397293,31056,7223,776169,462706,413433,55281,7146,796705,465594,433696,42944,7244,831946,446009,312715,81419,6459,505254,407784,262030,105804,5993,460472,366814
08.065.557/0001-12,TECNISA S.A.,Incorporação. Compra E Venda de Imóveis Prontos E A Construir A Locação E Administração de Bens Imóveis. Construção de Imóveis E A Prestação de Serviço de Consultoria Imobiliaria.,365965,-256711,5243,1718538,946655,293404,-278050,9464,1936500,782508,307989,-526082,12083,2319137,1065594,341077,-450402,12679,3128240,1448085,1271749,322148,35081,3712812,1712013,1612505,244312,33385,4798379,1700318,1832249,323466,34892,4690095,1579047,1114083,-146610,28372,3962095,1439170,1270515,199739,22700,3656371,1636204
33.111.246/0001-90,TECNOSOLO ENGENHARIA S.A.,,0,-372,0,232726,762,2462,-1175,0,228742,1135,1609,-14563,0,224583,2310,17527,-126,509,243385,16873,79337,2897,2391,241030,17508,34980,6021,857,227645,16929,11052,-45915,0,211294,11476,16663,-66933,581,152748,4690,102512,7022,61,185269,70490
02.351.144/0001-18,TEGMA GESTAO LOGISTICA S.A.,Prestação de Serviços de Logística Para A Indústria Automotiva. Gerenciamento de Estoques E Pátios. Atividades de Armazém Geral. Pdi. Dentre Outras.,1347320,265298,72099,985421,575079,1253779,144296,42697,809433,484372,0,0,0,0,0,923891,26799,16316,828122,375077,1122564,11176,17831,909304,365363,1439553,95802,37707,1054376,362172,1772493,71967,57448,1200483,401598,1634029,120816,26221,1056660,415175,1509364,147265,26218,953130,398088
82.636.986/0001-55,TEKA-TECELAGEM KUEHNRICH S.A.,Fabricação de Artigos de Cama. Mesa E Banho,148725,-130981,0,979499,-1563967,149157,-126905,0,965579,-1435160,132023,-115523,0,938437,-1313213,158619,-133203,0,949582,-1309688,141602,-129082,0,883757,-1174815,119964,-147032,6,830958,-1046177,114594,-151951,0,832116,-912632,186239,117375,11872,837479,-756164,264810,-183752,412,508312,-870456
33.467.572/0001-34,TEKNO S.A. - INDUSTRIA E COMERCIO,Pintura de Bobinas E Chapas Metálicas,149259,16137,4146,228827,181876,137170,5757,2799,214634,173375,124056,-17077,51,204819,172999,110644,-20405,68,219602,188071,121346,-7492,1701,230733,204786,137252,9457,4792,242655,216064,152919,27720,9038,244027,222148,125792,26612,7096,243744,223741,0,0,0,254383,229235
00.336.701/0001-04,TELEC BRASILEIRAS S.A. TELEBRAS,Consecução E Execução Das Políticas Públicas de Telecomunicação (decreto 9.612/2018).,204253,-237526,0,4297986,1646733,199652,-224851,0,3585269,370434,73293,-243817,0,3425226,589821,56054,-270834,49,3059928,-500103,45092,-235633,0,2554529,-218760,146611,-117358,0,1833542,1846,42236,-145746,0,1173060,116583,2292,40754,0,986848,262543,99,-47909,0,898578,-77998
