cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
19.296.342/0001-29,MGI - MINAS GERAIS PARTICIPAÇÕES S.A.,(i)participação Acionária em Empresas;(ii) Promover Associações de Empresas;(iii) Prestar Apoio Técnico E de Gestão Administrativa; E (v)realizar Operações de Aquisição de Créditos Do Estado de Mg.,164315,-8494,0,2400675,443432,180889,226858,0,2251042,387425,196025,-12480,0,1611709,139810,275149,-133435,0,1641692,177932,297067,-609041,2471,1740139,486829,525090,193815,10618,2201371,1071104,150380,46429,8615,1355469,283144,0,0,0,0,0,0,0,0,0,0
27.093.558/0001-15,MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.,Serviços Especiais de Engenharia E Locação de Plataforma,439465,-57044,7354,1375895,1107373,304189,-139240,0,1014648,750309,291265,-202516,0,1223576,846580,396617,-144392,0,1510747,997949,576106,-128718,0,1637957,962231,794166,90336,50943,1892723,1059397,832262,233389,68396,1801245,1016513,665474,207522,49901,1664061,859326,0,0,0,0,0
17.161.241/0001-15,MINASMAQUINAS S.A.,Comércio de Veículos. Peças E Serviços (concessionária Mercedes-benz),450766,42806,9269,245110,160528,286385,22652,7136,211157,133295,267167,16147,5401,175517,120852,204233,17069,5598,154500,111536,199743,12260,3881,152404,101590,259048,24166,7981,129667,94326,276463,13540,4581,141725,80294,315104,12331,4188,132948,72527,314605,18188,5938,167092,65466
67.620.377/0001-14,MINERVA S.A.,Líder Na América Do Sul Na Exportação de Carne Bovina In Natura E Seus Derivados. E Que Atua Também No Segmento de Processados.,17122825,-132610,153037,13233737,-281662,16214909,-1809015,18490,12824421,-301114,12103789,-201101,44671,11905325,71077,9648670,250580,49403,8959148,522067,9524797,-745916,50899,8312048,-382747,6987230,-419595,7526,7247358,480553,5456566,-316005,3133,4978136,443628,4379891,-201372,3188,4367073,754307,3976977,-92406,280,3499191,612670
90.076.886/0001-40,MINUPAR PARTICIPACOES S.A.,Participação em Outras Empresas. Bem Como Criação. Abate. Industrialização. Comercialização. Importação E Exportação de Carnes E Produtos Derivados de Aves. E Prestação de Serviços A Terceiros.,235584,-32276,0,199872,-393022,199562,-67027,0,183905,-359992,190423,-26200,7008,171925,-292963,196298,-13332,0,208152,-267600,207304,-11096,0,214986,-254268,187170,579,39,202797,-242924,225096,-22519,0,213192,-249173,300631,-246302,0,271280,-192090,181852,-15534,0,274914,16705
07.882.930/0001-65,MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,(a) Incorporação E Comercialização de Empreendimentos Imobiliários de Qualquer Natureza. (b) Loteamento de Terrenos. (c) Construção de Condomínios,311852,37730,0,396035,63325,150237,19664,0,271282,40310,54788,-3855,0,114339,30560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02.762.115/0001-49,MMX MINERACAO E METALICOS S.A.,Mineração de Minério de Ferro,1251,-117988,0,122734,-733506,2699,-110179,0,122689,-612811,454,-29407,0,168726,-501230,2723,415594,0,186186,-473432,367,97061,0,405371,-734161,329046,-2209832,13856,3237852,-828291,1041164,-1970411,14139,7245982,1397950,806013,-755306,2907,7739234,2440214,1035684,-92801,13044,6196811,2907281
33.102.476/0001-92,MONTEIRO ARANHA S.A.,Holding - Participação Societária,1128,127710,817,1705306,1067904,3672,79698,685,1572405,1137732,2758,146344,730,1628691,1322128,3553,196527,470,1565901,1304190,3893,125038,797,1434739,1187999,4910,185278,4229,1371690,1288983,1411,101728,0,1270050,1177876,1304,181985,0,1317491,1235572,0,239154,58106,1223402,1108559
12.049.631/0001-84,MOURA DUBEUX ENGENHARIA S/A,Compra E Venda de Imóveis. Locação. Desmembramento Ou Loteamento de Terrenos. incorporação Imobiliária Ou Construção de Imóveis Destinados à Venda. Participação em Outras sociedades.,407765,-89505,10006,2242401,90263,359960,-193780,3189,1835807,187037,609610,-43142,13213,2191801,408848,602816,-106297,14745,2291264,415617,782819,91674,16646,2422499,527685,851563,110410,21116,2259537,499941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
