cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
10.753.164/0001-43,ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.,Aquisição de Quaisquer Direitos Creditorios Do Agronegocio Com A Consequente Emissão de Certificados de Recebiveis Do Agronegocio No Mercado Financeiro E de Capitais.,6301,816,389,3641,1406,4784,1447,478,4113,1086,9000,1030,185,5802,993,7304,2071,696,7288,1390,8845,1230,528,2510,886,11029,1701,539,2103,1200,11153,1626,574,10975,1108,11138,4754,1624,947,319,6104,3513,673,4381,1974
08.873.873/0001-10,ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.,Serviços de Apoio Administrativo E de Engenharia. Exploração Direta Ou Indireta de Negócios de Concessão de Obras E Serviços Públicos.,3767121,387398,331129,10178029,973590,3037756,925108,327764,8628636,1022255,2961523,986846,330630,7480594,1116253,2579537,797338,276219,6104720,951369,2153113,585313,198236,5253875,896014,2214482,621993,225893,4227674,807871,2067554,679789,212274,4049830,806791,1719427,656870,201322,3004762,779320,1372706,555526,167305,2764145,860383
04.149.454/0001-80,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,Exploração Direta Ou Indireta de Negócios de Concessão de Obras E Serviços Públicos E Organização Logísitica Do Transporte de Carga.,3952889,95624,331133,11542453,455351,3169267,723560,327910,10020935,640319,3066359,756249,327341,7815758,756570,2828996,220112,278924,6603407,572547,2735719,290815,215415,7860983,1638454,2937001,716908,241440,6701870,1784186,2639059,634179,212625,6500768,2098029,2087521,665522,230853,5805575,2125487,1827371,605188,207794,3780606,1885101
03.983.431/0001-03,EDP - ENERGIAS DO BRASIL S.A.,área de Negócios: Geração. Distribuição. Transmissão E Comercialização de Energia Elétrica,15228336,1927280,287901,27489069,10331597,13834220,1796953,297714,22772071,9674581,12373375,1044160,201468,20607952,9037597,9364772,989187,421631,19243283,8985058,10260434,1762686,127274,18412340,7488447,8898728,1186880,108643,13171799,6566803,7096492,813609,253993,14141494,6253173,6454488,778858,146327,12729446,6332386,0,0,0,0,0
28.152.650/0001-71,EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,Distribuição de Energia Elétrica,3834943,524596,51936,5098201,1054189,3391814,206124,26131,3814099,925033,2953118,149509,31291,3587538,791900,2776522,275370,69678,3207613,951640,2994899,166453,21184,3160743,966188,2428845,262854,5918,2839121,907006,2027508,176094,34884,2372139,687191,1904705,214595,19681,2376182,614465,0,0,0,0,0
02.302.100/0001-06,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,Distribuição de Energia Elétrica,4403520,431420,93769,5513653,1243488,4189086,288150,75836,4038785,1197409,3975741,271154,-57905,3677691,1105701,3140132,166302,278435,3137379,1002182,3940094,365845,10326,3332050,1133485,3198650,337205,-6536,2769806,1068756,2605852,265766,67871,2457370,1104256,2557089,112599,6858,2401488,779289,0,0,0,0,0
82.643.537/0001-34,ELECTRO ACO ALTONA S.A.,Fundição de Ferro E Aço,299194,19452,0,368478,162778,246961,12298,0,345511,153023,168407,42764,0,253402,97996,117687,-2990,0,244566,69205,146637,-1003,0,269385,71794,171325,9065,0,271097,73510,180363,13560,0,262022,69020,183783,11660,0,254190,63144,172191,12514,0,238009,55440
02.328.280/0001-97,ELEKTRO REDES S.A.,Distribuição de Energia Elétrica,6772605,694834,113671,7881509,2666751,6249356,587442,96368,7853743,2293827,5811495,537872,68357,6453521,2030301,4754980,477769,19807,6283450,1998294,5613762,519125,91628,7402363,1962445,4762815,635926,134164,5801992,2220259,3549334,449856,104079,4601380,2052755,3569543,471924,109525,4558718,1936372,0,0,0,0,0
01.104.937/0001-70,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,A Eletropar Tem Por Objeto Social Principal A Participação No Capital Social Da Eletropaulo - Eletricidade de São Paulo S.A.. Concessionária de Serviços Pub. de Energia Elét.. E de Outras Sociedades.,0,-1147,1238,232427,176409,0,14789,731,229438,187432,0,50314,4819,243351,201037,0,36389,880,221079,188624,0,5936,626,172753,145007,0,-2425,519,153551,140902,0,3372,9,152635,141904,0,13837,502,183423,161683,0,24892,1237,243224,202049
61.695.227/0001-93,ELETROPAULO METROP. ELET. SAO PAULO S.A.,Distribuição de Energia Elétrica,14704049,1167786,-22287,26469544,3969216,14489839,-448819,0,18554580,2880980,13083172,-1312956,2,16087314,1751838,11659899,15411,18053,13565197,2694812,13667413,158973,103262,13274827,2839145,10596616,-196375,85708,11590259,2567808,9012207,309618,92711,10694051,2829462,9959198,72868,661,11303378,1708960,9835578,2323223,733137,11024810,3213818
02.302.101/0001-42,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Produção de Energia Elétrica,439003,123798,59885,1500335,990225,316417,83514,35865,1338612,868855,209510,156194,21553,1245025,819875,206607,77486,17933,1125762,722939,198444,66094,7501,1098255,760707,151102,-16909,11271,1094219,680554,192834,63543,466,1152172,764339,174509,-55939,3774,1067195,617775,164093,-20311,16669,1132142,771885
07.689.002/0001-89,EMBRAER S.A.,Projeto. Desenvolvimento. Fabricação. Comercialização de Aeronaves E Sistemas E Fornecimento de Suporte E Serviços de Pós-venda.,10467931,-401402,152925,42614656,14569552,7888033,-1064388,28748,43758768,15266994,0,0,0,0,0,21435696,555821,493077,38016671,12844858,20301771,1101892,440247,45566910,15008670,14935910,1201051,180956,27653600,10265486,13635846,1352291,139834,23760310,8509009,12180463,1222317,384784,19374163,6846482,9837903,382572,70446,16598608,5848433
06.626.253/0001-51,EMPREENDIMENTOS PAGUE MENOS S.A.,Comércio de Produtos Farmacêuticos. Perfumarias E Afins. Sem Manipulação de Fórmulas.,6422248,-30026,0,4807686,1024520,6245050,48326,0,3376885,1031295,5962804,65018,5814,2915570,941267,5542343,-7438,37399,2774325,877829,4630548,35417,0,3022053,882990,4081834,128207,1466,2234853,464098,3581629,125467,8512,1586547,394859,3137903,125757,12556,1299727,327980,2783129,133549,17888,1006120,247262
01.971.614/0001-83,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,Holding,0,-17431,191,302658,187644,0,29970,159,304078,198322,0,44922,2782,292255,129721,0,-85213,307,278329,83863,0,-60114,577,292865,169197,0,-49027,1143,341332,237224,486,12235,719,332309,243242,3080,-8693,956,181747,160794,3363,47395,1437,218062,181686
11.669.021/0001-10,ENAUTA PARTICIPAÇÕES S.A.,Participação em Sociedades Que Se Dediquem à Exploração. Produção E comercialização de Petróleo. Gás Natural E Seus Derivados. Seja Como Sócio Ou acionista Ou Outras Formas de Associações.,1111670,241408,56791,4549170,2895536,797204,536108,68346,3943533,3199587,501726,434619,78301,3938541,3110110,476454,167855,13834,3563420,2779647,496192,75710,8242,3430263,2689165,503232,211159,13249,3232238,2590004,486088,187683,17918,3039321,2409057,462306,122498,34230,2434042,2227797,289007,121211,32013,2729723,2175763
15.413.826/0001-50,ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.,Distribuição de Energia Elétrica,2819552,490280,129212,3411395,888228,2543126,249857,45114,3139533,828633,2234492,158724,42231,2846877,816448,1963574,156554,61458,2652211,839919,2031746,165351,18537,2597403,803589,1675539,51396,0,2334010,754079,1463120,-25764,1424,1877509,666081,1517353,-9438,13300,2032684,686512,1334601,214660,38865,1882917,787330
