cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
03.378.521/0001-75,LIGHT S.A.,Participação em Sociedades P/ Exploração Serviços de Energia Elétrica,13389567,1988948,96193,23843768,6230544,11970547,311390,81501,17863703,3389492,0,0,0,0,0,9645237,-282975,190871,14330229,3353796,10912673,124230,63983,14901420,3665063,0,0,0,0,0,7422256,852103,113904,13002207,3477139,7182360,598385,115008,11147447,3025683,0,0,0,10655822,3171828
60.444.437/0001-46,LIGHT SERVICOS DE ELETRICIDADE S.A.,A Light  Serviços de Eletricidade S.A. Tem Como Atividade A Distribuição de Energia Elétrica.,11912106,1759573,-1728,20182477,5157564,10334019,115502,1726,14402485,2446129,0,0,0,0,0,8657674,-276560,0,11841845,2486026,10016227,-60289,-1393,11996311,2549435,0,0,0,0,0,6716762,540957,-3351,10596246,2436462,6614402,401958,18456,8968355,2188814,6507086,319113,-4251,8701072,2265111
06.948.969/0001-75,LINX S.A.,,788159,63933,11394,2563943,1789844,685559,92144,9959,1647676,1057209,571590,108761,9217,1564024,1170520,495799,92899,10595,1483372,1153278,449183,81366,5052,996087,665239,368813,83548,5962,882182,634178,295449,76747,7718,769011,586370,230989,33491,4206,375443,233443,184501,35232,5095,356486,247155
00.743.065/0001-27,LITEL PARTICIPACOES S.A.,,0,708017,406309,0,0,0,5161647,38550,37117950,32523657,0,3389904,668029,33193064,27209089,0,2635713,0,28856033,24172348,0,-8325756,11,29010863,24932660,0,-294122,5261,31710839,27161161,0,-472935,8318,32275386,28056161,0,1182852,6777,31507690,27882182,0,6415101,23957,29509707,26343023
05.495.546/0001-84,LITELA PARTICIPAÇÕES S.A.,A Cia Tem Como Atividade A Participação. Sob Qualquer Forma. No Capital de Outras Sociedades Civis Ou Comerciais. Atualmente. A Cia Tem Participação Somente Na Vale S.A.,0,-225022,276526,30506950,29629538,0,498661,38550,3635052,3322281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
