cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
51.928.174/0001-50,PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,Participação em Outras Empresas,407550,-5151,0,631482,-72203,346821,-253771,0,433256,-514861,389175,-146532,0,533380,-257324,351385,-244650,0,581418,-185299,480774,-135208,0,638763,66813,658343,-30337,0,812203,260214,848213,-110075,-393,975255,319889,910815,-78659,214,978254,396839,1020111,24864,12686,954738,263443
12.261.588/0001-16,POLO CAPITAL SECURITIZADORA S.A,Setor de Atividade: Securitização de Recebíveis/aquisição E Securitização de Créditos Imobiliários E Hipotecários; Prestação de Serviços Referentes A Operações Nos Mercados Secundários; Emissão de Cri,506,53,13,948,814,808,440,124,1039,784,669,421,93,1350,547,705,589,116,1149,962,325,245,53,655,601,438,468,87,564,440,294,52,0,85,59,0,-239,0,190,18,0,-429,0,274,257
59.789.545/0001-71,POLPAR S.A.,Participação em Outras Empresas,0,461,0,51337,37315,0,312,5,49031,35679,0,0,0,0,0,0,1626,162,19989,15725,0,464,119,26283,19090,0,0,0,0,0,0,116,0,14077,10460,0,321,34,12680,8656,0,305,0,8854,6015
86.550.951/0001-50,POMIFRUTAS S/A,Pomicultura Produção. Comercialização E Exportação,9545,257,0,32632,-67972,5216,-11409,0,36137,-68564,44730,-20661,0,64655,-61733,45510,-18877,0,92735,-41681,37352,-30132,0,110110,-32791,56056,-9237,302,122862,-9760,44202,10157,5787,135299,38771,49316,-27574,0,156691,27944,52522,-23192,0,182416,46812
02.149.205/0001-69,PORTO SEGURO S.A.,Gestão de Participações Societárias (holding),18080692,2027056,622218,32711299,8269784,17821958,2166079,673266,30560958,7643721,16894102,1532686,400984,28978126,7716099,16134566,1338012,432954,25356707,7000799,15457182,1412131,534078,23189494,6435844,0,0,0,0,0,0,2226366,369136,20409315,5893508,0,954920,415330,18871979,5074096,0,796223,341096,16577614,4705877
18.494.485/0001-82,PORTO SUDESTE V.M. S.A.,,0,-279604,0,36663689,131811,0,-359300,0,37365718,215173,0,-279241,0,31706959,108288,0,-243793,0,32723486,-12359,0,-160670,0,118414121,13365,0,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0
