cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
16.670.085/0001-55,LOCALIZA RENT A CAR S.A.,Aluguel de Carros E Gestão de Frotas,10195637,1079834,180727,19392960,5447532,7626654,885731,139873,13992414,3094502,5869498,654135,119362,11186234,2600725,4439273,527628,88014,7417255,2196990,3928095,532844,94818,6123024,1941577,3892216,575588,139493,5664599,1655504,3506235,541503,130020,4578200,1341208,3166800,327126,106484,4045908,1324753,2918130,416667,106123,4009554,1120583
02.351.877/0001-52,LOCAWEB SERVIÇOS DE INTERNET S.A.,,385717,24277,6025,514013,88333,314983,20104,4804,276336,61087,293168,16709,5348,241494,50590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09.041.168/0001-10,LOG COMMERCIAL PROPERTIES,Administração de Bens Próprios. Prestação de Serviços de Engenharia E Construção.incorporação. Construção Comercialização E Locação de Imóveis.participação em Outras Sociedades Como Sócia Ou Acionista,128034,142029,9810,3988727,2954223,104827,44634,6559,3222897,2159623,99494,24140,6177,3073803,2019952,96774,2896,5078,2882098,1774284,92911,856,5999,2575518,1495873,67968,256567,5694,2626148,1454215,89255,34483,4610,1626287,739985,27656,9779,2143,1085479,435822,0,0,0,796869,427074
42.278.291/0001-24,LOG-IN LOGISTICA INTERMODAL S.A.,A Log-in Oferece Soluções Logísticas Integradas Através Do Transporte Marítimo em Navios Porta-contêineres. Terminal Portuário. Terminais Intermodais E Transporte Rodoviário de Curta Distância.,1052204,25698,32947,1912077,317047,977433,2662,9242,1143212,-354627,872172,-652912,12890,1155241,-393227,794031,145612,5144,1857719,189975,894689,-343581,6973,2329572,96707,974322,-38828,19755,2133250,471914,810667,-24104,16329,2059953,556317,718125,-33179,20404,1911620,548940,658720,-117117,23166,1606809,555092
33.014.556/0001-96,LOJAS AMERICANAS S.A.,Comércio em Geral. Inclusive Supermercado E Lanchonete. Lojas de Conveniência. No Varejo E No Atacado. Através de Lojas E Depósitos. de Quaisquer Mercadorias. Bem Como A Realização de Serviços.,18956331,729449,180225,33269041,7379873,17689862,305528,265436,28248292,6286125,16345589,36083,197438,27536385,6106261,18103512,-115472,202936,20775991,3155132,17926155,274743,209961,20494457,2943605,16145669,432251,196472,16858031,3048280,13401172,569752,232197,14138353,1488484,11334061,457225,189722,11080294,1167992,9978406,405843,145366,9458027,1157115
96.418.264/0218-02,LOJAS QUERO-QUERO S/A,Comércio Varejista Especializado em Material de Construção. Eletrodomésticos E Móveis.,1344032,47524,15310,1644802,145666,1180501,32212,10613,1166710,138656,972503,23402,7086,681557,118012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.754.738/0001-62,LOJAS RENNER S.A.,Loja de Departamentos (comércio Varejista),9588437,1511854,472822,11791735,4704614,8426541,1370193,278097,8821048,3954512,7444305,1004137,334774,7547658,3223446,6451578,872380,253651,6475212,2636796,6145198,828667,275069,5863719,2310896,5216820,708175,266889,5318884,1855268,4370328,582714,169581,4515524,1493253,3862508,508820,169606,3770028,1305683,3238543,475393,140014,2983504,1154998
