cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
21.314.559/0001-66,MOVIDA PARTICIPACOES SA,Aluguel de Carros E Gestão de Frotas,3836044,280858,185,7242817,2300999,2538599,206942,20307,5192301,1658842,2467983,90313,3704,4006470,1284840,1830613,49360,3139,2789713,721765,1213502,72491,18778,2618610,794489,60263,5736,970,1373003,627884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.417.222/0001-77,MRS LOGISTICA S.A.,Serviços de Transporte Ferroviário de Cargas,3200809,757733,391521,10724199,4102527,3726448,784376,296896,8019175,3844207,3492805,715251,288279,7833919,3555281,3279420,661147,297221,7572805,3302808,3172744,451738,123208,7922968,2984124,3063061,575657,149484,7003898,2847730,3038142,718702,158271,6639607,2668882,2989814,674036,139038,6074362,2509189,2862372,792635,126055,5532103,2297359
08.343.492/0001-20,MRV ENGENHARIA E PARTICIPACOES S.A.,Atividades de Incorporação E Construção,6055722,877920,122075,14686323,5108789,5418995,878566,124714,13636891,4874586,4759888,805195,111897,14558500,5797121,4249049,668476,100495,12327013,5437487,4763038,698596,117427,11392309,5049873,4186185,814651,97275,10817175,4672918,3870608,499053,67053,10198449,4365400,3803808,596029,59585,10340205,4087973,0,0,0,8614071,3670089
07.816.890/0001-53,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,Administração de Shopping Centers,1305587,559009,84652,9576749,5591001,1229142,594881,101044,8875258,5352187,1156379,438624,67938,8644402,5200313,1109950,442315,119931,7954446,4456360,1065030,442531,71336,7014259,4187401,1113454,467007,75897,6771328,4069654,973054,372705,71406,6397648,3819338,958372,499136,57036,5699680,3205860,676252,426458,60668,4722090,3216869
88.610.191/0001-54,MUNDIAL S.A. - PRODUTOS DE CONSUMO,Componentes Diversos Para Indústria de Calçados Confecções. Artigos de Cuidados Pessoais E de Cultelaria.,485894,-13131,515,1037082,-145313,469949,4427,2935,1022493,-134675,437123,-130946,2329,977889,-139209,421202,-42091,1294,952144,-60470,404148,-42473,3408,887634,-19429,380053,-53344,3005,822437,8646,409698,5933,5021,932867,37402,368142,3607,8879,870769,32330,363699,-38044,2777,842606,39674
32.785.497/0001-97,NATURA &CO HOLDING S.A.,Gestão de Participações Societárias em Sociedades Que Desenvolvam Suas Atividades Principais No Ramo de Beleza.,14444690,304566,0,21184512,3362345,13397419,673405,0,15379549,2574102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.673.990/0001-77,NATURA COSMETICOS S.A.,Comércio Atacadista de Comércio E Produtos de Perfumaria,14444690,551608,0,18133938,3392677,13397419,673405,0,15379549,2574102,0,0,0,0,0,7912664,426859,0,8421579,996385,7899002,875370,0,9394981,1077767,7408422,1096393,0,7200083,1148679,7010311,1257746,0,6248321,1168250,5591374,1237730,416123,3783447,1240680,0,0,0,0,0
01.083.200/0001-18,NEOENERGIA S.A.,Participação em Outras Sociedades,28461313,2932389,287967,54214782,19258737,25953659,2100920,265844,46564478,17576795,20508070,729521,135208,42145769,15608354,14834231,560811,120692,27967404,9219765,14617679,582308,248202,27371492,9314882,12308947,964357,242476,22657862,9933271,10614298,1323668,162073,20459145,9655161,11650373,1466602,291503,21249307,11393526,0,0,0,19983627,11248621
10.139.870/0001-08,NEOGRID PARTICIPACOES S.A.,Participação em Outras Empresas Ou Sociedades. Negócios E Empreendimentos; Desenvolvimento. Licenciamento E Implementação de Softwares; E Prestação de Serviços de Assessoria Técnica E de Treinamento.,207099,13662,2819,333782,137289,177028,17758,2049,345867,130320,163701,10026,1202,200301,113987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
