cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
61.374.161/0001-30,BAUMER S.A.,Fabricação Aparelhos E Instrumentos P/ Uso Medico Hospitalar E Ortopedia,149310,9428,5234,190587,108127,119802,5931,3178,189890,104169,109753,2451,1989,180845,100540,113105,5428,2625,170692,98148,112044,21246,6250,161822,94923,116297,18280,5898,136888,82039,108697,20195,6068,124593,75550,99746,14152,5098,100514,62735,93512,10049,1879,88433,53582
17.344.597/0001-94,BB SEGURIDADE PARTICIPAÇÕES S.A.,Participação No Capital Social de Outras Sociedades. Que Tenham Por Atividade Operações de Seguros. Resseguros. Previdências Complementar Ou Capitalização.,0,8600935,-343522,14926547,5248754,0,4414393,-274057,13626690,6830385,0,4692552,-343399,13334413,8898470,0,4824417,0,12542306,8289065,0,4994652,0,11495678,7580768,0,4139012,0,10382681,7923984,0,2947721,0,8785478,6941273,0,0,0,7292611,5638374,0,0,0,0,0
01.107.327/0001-20,BBM LOGISTICA S.A.,Prestação de Serviços Logísticos Através de Operações Dedicadas E Transporte de Carga Geral Fracionada.,608880,3997,4886,664116,120751,507618,11513,738,312319,99488,289750,-90,0,214395,68237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.195.667/0001-06,BCO ABC BRASIL S.A.,O Banco Tem Por Objeto A Prática de Operações Ativas. Passivas E Acessórias Inerentes às Respectivas Carteiras Autorizadas Pelo Banco Central Do Brasil.,2247643,497394,0,32645825,26797653,2391943,416475,0,30115408,24526272,2156854,427417,0,27144810,22625518,2010847,391716,0,25485680,19654966,2240732,388557,0,23739064,17671796,1719951,328379,0,19652604,15860133,1682149,265417,0,15763903,12545697,1470226,240919,0,12737680,9831985,1310997,235599,0,10391898,7899366
60.770.336/0001-65,BCO ALFA DE INVESTIMENTO S.A.,Operações Permitidas à Sociedade Da Espécie em Lei. Atividades de Administração de Carteira de Valores Mobiliários. Consultoria de Valores Mobiliários E Operações de Câmbio.,986292,68881,0,12042514,10412463,894617,53141,0,13329178,11731630,1156330,49685,0,12621742,11045728,1555932,91545,0,12266178,10623205,1616781,84799,0,12335368,10829476,1361037,66080,0,13870684,12402704,1117849,91107,0,13525861,12163306,1051166,96912,0,14025420,12456591,1128407,73333,0,10851756,9345635
04.902.979/0001-44,BCO AMAZONIA S.A.,,1506463,348569,0,20478841,0,1303185,273959,0,18939959,0,1421049,398961,0,16952092,0,1611744,435279,0,14174359,0,1451082,447965,0,12083092,0,1107076,295332,0,12418434,0,892815,171195,0,11330107,0,927393,311403,0,10549264,0,972658,153247,0,9871604,0
60.746.948/0001-12,BCO BRADESCO S.A.,Prática de Operações Bancárias em Geral. Inclusive Câmbio,124306394,21173207,0,1378527685,893209350,112546955,16748439,0,1305543714,852332872,137794231,17314603,0,1224353440,733319404,162912502,17992726,0,1192029656,953963613,114601292,18237905,0,1026703522,819487414,99723519,15416478,0,930451016,757383017,77698157,12486138,0,838301614,683415524,85950345,11351694,0,799540624,636890144,84534943,11089442,0,720966589,588625231
00.000.000/0001-91,BCO BRASIL S.A.,Banco Múltiplo,123105325,18888318,0,1452266807,1220561201,120250344,15086101,0,1396507474,1201107729,147064451,12275303,0,1353075042,1164950712,168039236,8659577,0,1387215686,1189577620,182368871,15798039,0,1388864529,1210152764,137778601,13343496,0,1278136948,1105625511,104582211,11288834,0,1162167882,998737871,94180849,11405317,0,1014080577,858340588,93205799,12701734,0,869892726,724666960
30.306.294/0001-45,BCO BTG PACTUAL S.A.,A Companhia E Suas Controladas Formam Um Grupo de Prestação de Serviços Financeiros sediado No Brasil. Atuando Como Banco Múltiplo. Com Carteira de Investimento. Nos Termos Da legislação Aplicável.,11678102,4053417,0,166344090,86501006,8673466,2430169,0,131989532,77665074,8871675,2375259,0,117472283,61997637,13000416,6171188,0,111407601,53768649,11669345,-85096,0,242998063,70641368,11626540,1901148,0,157712093,83647806,8826415,2584821,0,120888308,64060403,8067816,2154126,0,124425734,80058220,5267859,1339564,0,82392059,52799940
13.009.717/0001-46,BCO ESTADO DE SERGIPE S.A. - BANESE,,681886,116532,23461,5534273,11055,638890,127012,0,5246847,11632,705184,157001,0,4872926,12220,670188,103646,0,4206552,19,610965,57003,0,3772084,46,517736,17917,16094,3727939,29,469400,103995,23353,3378125,12,508308,163322,41324,2942073,29,483285,163283,41372,2760668,36
04.913.711/0001-08,BCO ESTADO DO PARA S.A.,,1690482,517414,43382,8793048,0,1622746,493791,108079,7121290,0,1564464,352573,96403,6937364,0,1465880,309439,78567,6337473,0,1338987,286681,87089,5269067,0,1150489,220957,81500,5032293,0,885829,244787,79529,4549552,0,674579,208781,56961,3728257,0,545104,138033,30503,2740013,0
92.702.067/0001-96,BCO ESTADO DO RIO GRANDE DO SUL S.A.,Banco Múltiplo Atuante Nas Carteiras Comercial. Crédito. Financiamento E Investimento. Crédito Imobiliário. Desenvolvimento E Arrendamento Mercantil E de Investimentos.,8063609,1269947,0,82539500,67926551,8454424,908597,0,78336413,64797122,9317842,1095506,0,74367489,61194114,10458584,728875,0,70154958,57872881,9666650,880218,0,68103613,57031865,7433175,621015,0,60461043,50165663,6232784,748970,0,54114961,44299019,5973979,833709,0,47565722,38999288,5711197,934171,0,38355149,31815148
61.024.352/0001-71,BCO INDUSVAL S.A.,Banco Múltiplo Que Concentra Seus Negócios em Produtos de Crédito Corporativo. em Moeda Nacional E Estrangeira. Bem Como Produtos de Repasse. Tesouraria E Serviço de Assessoria Financeira A Empresas.,109375,-17656,0,3068166,2359357,176751,-101190,0,2444289,2198255,297338,-206732,0,2668055,2140201,512130,-113915,0,4109992,3404869,859537,-168893,0,3652801,2878431,761715,-2804,0,5522686,4618570,564642,-109945,0,4933387,3980494,614684,2059,0,3958176,3241100,741250,-30020,0,4239476,3404406
