cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
97.191.902/0001-94,CONSERVAS ODERICH S.A.,Indústria de Alimentos Com Sede Na Cidade de São Sebastião Do Caí (rs) E Filiais Nas Cidades de Eldorado Do Sul (rs). Pelotas (rs). Orizona (go) E Salvador (ba).,417786,20048,2080,421967,190876,365389,14969,1519,415410,174754,331624,17104,-688,382942,160871,387417,49840,1982,395425,147933,385973,-3925,1257,410643,110306,347165,3890,1449,382707,111167,330033,18280,4273,351330,108429,323487,13846,3734,320613,99799,264965,-21730,0,303083,93820
17.193.806/0001-46,CONSORCIO ALFA DE ADMINISTRACAO S.A.,A Sociedade Tem Por Objeto Social: a) todos E Quaisquer Serviços de Engenharia Permitidos Pelas Leis E Regulamentos Aplicáveis à Espécie; b) atuar Como Representante. Administradora Ou Procurad,28762,93441,0,3321806,1760093,26000,116156,0,3162081,1687317,25294,108806,0,3141175,1597239,30556,122897,0,3247532,1542020,27701,118269,0,3034511,1483938,24676,89459,0,2861695,1346943,27783,89857,0,2529211,1275027,27005,109247,0,2459921,1204008,15429,116844,0,5286483,1032274
61.022.042/0001-18,CONSTRUTORA ADOLPHO LINDENBERG S.A.,,4076,-24684,9,79872,1359,6814,2516,16,45866,26025,12093,4707,102,47627,24218,27147,13180,2311,46246,22346,45507,17119,1765,55040,26869,45025,9755,2163,44050,15747,43021,13646,1581,34572,10038,32496,3885,854,18152,-5818,18686,-6180,396,14428,-8849
71.476.527/0001-35,CONSTRUTORA TENDA S.A.,,1950098,299533,31265,3478485,1351709,1681254,227866,24641,2621039,1203774,1357904,122630,27053,2135178,1163739,1052710,68235,16089,1862149,1075622,850962,36219,9835,1905660,1126814,570138,-136058,8027,2125189,1082346,817461,-75970,7517,2507141,1217885,1069110,-101838,3752,3301071,1876709,0,0,0,3432748,2097970
