cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
08.797.760/0001-83,CURY CONSTRUTORA E INCORPORADORA S.A.,Somos Uma Companhia Com Foco Na Incorporação E Construção de Empreendimentos Residenciais Enquadrados No Programa Habitacional Minha Casa Minha Vida E Sistema Brasileiro de Poupança E Empréstimosbpe,1019277,226095,21283,1287998,363797,920253,194461,17745,1129517,346647,814385,142596,13399,1275696,336699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.760.260/0001-19,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,Serviços de Turismo. Compreendendo A Intermediação. Individualmente Ou Na Forma Agregada. de Passagens Aéreas. Transporte Terrestre. Reservas de Hotéis. Passagens de Cruzeiros Marítimos. Entre Outros.,1709456,61584,87894,6898229,799196,1532025,253083,139675,5841270,742986,1185145,341019,123471,4676299,677225,1063929,299598,82388,3328429,717223,881879,267553,32667,2847910,661347,714535,225226,44161,2296230,458826,641189,174655,28377,2069379,316281,623361,42428,36920,1720046,210632,0,0,0,0,0
73.178.600/0001-18,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,Incorporação Imobiliária,3930822,620489,83217,9987778,5175443,3146157,74560,67433,9829268,5537811,2673770,54630,82764,10401541,6365498,3195310,318343,83164,11879699,6766742,4341184,690404,118474,12729588,6678887,5817927,976407,139210,13420612,6367845,5371882,1029890,142835,14387099,6194048,5632679,988369,183130,13607903,5628762,0,0,0,13353541,5048641
08.801.621/0001-86,CYRELA COMMERCIAL PROPERT S.A. EMPR PART,Incorporação de Empreendimentos Imobiliários,470826,142298,45610,5311608,3162797,489767,86160,36202,3588425,1774518,446272,259169,37380,3639428,1878463,421251,44872,29945,4832899,2112310,384293,84055,32014,4856183,2084853,381861,175629,29316,4353542,1541954,322293,213885,20305,3123325,1244909,372839,211912,22503,2143275,1038494,0,0,0,0,0
12.108.897/0001-50,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,A Companhia Tem Por Objeto A Participação. Como Sócia Ou Acionista. em Outras Sociedades Do Varejo Farmacêutico. Nacionais Ou Estrangeiras.,1132211,4175,443,1095643,466049,1161068,-10323,609,1014890,491570,1143299,-95555,148,1006304,257269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.486.650/0001-83,DIAGNOSTICOS DA AMERICA S.A.,Análises Clínicas E Medicina Diagnóstica,4364585,138619,64243,8839181,3263382,3933451,194031,30629,7223593,3321417,3399308,180528,13946,6246487,3319948,3040775,195388,14835,5164005,2861044,2794399,53312,2533,4681796,2789950,2697573,147725,21175,4609536,2772166,2487487,202908,37245,4691811,2708810,2264142,131259,36753,4272175,2607192,0,0,0,0,0
65.654.303/0001-73,DIBENS LEASING S.A. - ARREND.MERCANTIL,Arrendamento Mercantil,966369,296723,0,12525033,0,3270736,573680,0,32369217,0,11128825,806253,0,80045047,0,21616120,1001076,0,150821853,0,18552198,988275,0,167916926,0,16433068,2356176,0,152992219,0,13909032,2491074,0,161459129,0,16893540,2453365,0,178593315,340,11168750,1987212,0,97843010,804
92.665.611/0001-77,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,Comercio Atacadista E Varejista de Medicamentos E Produtos de Perfumaria E Toucador,2724680,80841,14354,1460285,524176,2432246,92621,16423,1000375,463912,2258246,73945,14282,950172,426747,2128732,72712,18226,820973,381650,1986026,62001,15832,759967,344142,1887076,61510,12418,719271,311302,1740420,71299,16464,599894,276897,1524000,64594,17820,500654,233640,0,0,0,0,0
16.614.075/0001-00,DIRECIONAL ENGENHARIA S.A.,Incorporação. Construção E Comercialização de Imóveis Próprios Ou de Terceiros E Prestação de Serviços de Engenharia.,1458228,153802,33782,4654716,1369344,1166048,-51328,26086,4651685,1393276,751857,-120710,20127,4141764,1604315,1358078,20202,19945,4089767,1747418,1569577,179498,25492,3887452,1777485,1835613,255527,28180,3955520,1735531,1743929,260196,21235,3433656,1601431,1448779,277704,21830,3181874,1515307,0,0,0,2567052,1313718
84.683.408/0001-03,DOHLER S.A.,Tecelagem de Fios de Algodão E Fibras Sintéticas,499545,8285,2163,742111,594565,480710,60067,8879,725650,570993,460013,38008,1890,672917,534011,429173,18944,1645,641824,511070,398264,35935,2058,644251,493647,396303,47989,3142,624490,471083,368302,46590,4689,577403,440290,313678,24717,2042,552446,411442,301088,28002,2562,520521,401399
08.926.302/0001-05,DOMMO ENERGIA S.A.,A Companhia Terá Por Objeto A Exploração. Produção E Comercialização de Petróleo E Seus Derivados. Gás Natural E Outros Hidrocarbonetos Fluidos.,438118,-126516,0,1339736,-482478,538273,-524677,0,639231,-376350,426481,-1993614,0,1346784,392412,198726,-419921,0,2062145,-931287,584549,-579846,0,2397724,-678938,989088,9815482,0,2435867,618311,835583,-16606609,0,4989347,-9726759,296936,-1383574,0,15416058,7050578,0,-538309,0,11859554,6509366
03.303.999/0001-36,DTCOM - DIRECT TO COMPANY S.A.,Treinamento em Desenvolvimento Profissional E Gerencial,11628,-10863,0,28847,4661,17535,2625,0,30646,6433,16410,4374,0,24101,177,14915,3,0,24604,2561,13603,-436,0,18994,2515,12479,-1100,0,15348,2786,12441,-1304,0,16187,3722,12061,231,226,15702,4828,11149,-1393,0,15861,4651
97.837.181/0001-47,DURATEX S.A.,Fabricação. Comércio. Importação E Exportação de Produtos Derivados de Madeira. de Produtos de Metais E Materiais Cerâmicos,5011706,479011,159612,10714688,4932168,4949361,582359,322660,9481858,4634867,3990866,215228,58244,9465574,4716319,3909760,17843,74470,9340796,4570652,3963214,106282,36274,9008059,4616476,3984507,445077,73331,8797107,4608900,3872705,705014,155797,8178327,4365005,3372546,579175,111893,7758598,4023605,2953693,456077,59421,6814150,3692810
