cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
15.101.405/0001-93,CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA,,1990,-1410,0,11934,-3965,1483,-5311,0,13656,951,5666,-1389,349,15484,2671,2521,-1007,489,17426,4481,3101,-2358,345,18919,6048,15170,1883,614,21885,8823,9832,625,413,23862,7544,2417,-1310,655,20431,7426,0,0,0,0,0
17.346.997/0001-39,COSAN LOGISTICA S.A.,Administração. Direta Ou Indireta. de Participações Societárias em Empresas Do Setor de Infraestrutura.,7087840,907496,160787,32838040,8615570,6584936,540790,66843,27142181,8300883,5946349,-253797,43241,26237350,8023590,5014555,-767842,76708,23038008,5682276,4037923,-121899,26250,21745662,4016357,915441,191440,35590,2584860,1328250,749348,243641,5617,2554080,1419096,0,0,0,0,0,0,0,0,0,0
50.746.577/0001-15,COSAN S.A.,Produção de Açúcar. Etanol E Cogeração de Energia. Distribuição de Combustíveis.produção E Distribuição de Lubrificantes.tranporte E Carregamento de Açúcar. Operador de Terras E Distribuição de Gás.,13560445,3201076,835708,32865140,11061216,10289935,2449104,395957,28789760,10923133,7670777,1968255,88470,28539273,10297265,7541793,1485562,112633,27299829,10792339,8451901,901321,150227,30382191,12534676,8146863,536083,120912,27103712,12449273,4586209,831502,100049,27524727,13305717,0,0,0,15820556,9561306,0,0,0,0,0
02.429.144/0001-93,CPFL ENERGIA S.A.,Gestão de Participações Societárias (holdings),29932474,3986293,1108326,44078293,13283238,28136627,2939977,805845,42211530,12532383,0,0,0,0,0,19112089,1380547,867198,42170992,10372668,20599212,1454453,12860,40532471,10130138,17399196,1510304,466021,35144436,9397328,14633856,1519200,521981,31042796,8798718,14890875,1877998,839127,28924279,7891129,0,0,0,25169278,8658475
08.439.659/0001-50,CPFL ENERGIAS RENOVÁVEIS S.A.,Geração de Energias Renováveis.,1928011,154176,106656,11808723,4646421,1936318,81531,117791,12175856,4251171,1959084,93771,122352,12856002,4138978,1646588,-97396,105006,12464885,4437806,1499356,504,85232,11904102,4303797,1247627,-133716,55751,11681496,4355314,1018611,-44410,47278,9495236,3578240,806420,17516,36226,8806663,3301117,171854,69504,5700,6476340,3286940
03.953.509/0001-47,CPFL GERACAO DE ENERGIA S.A.,Geração de Energia Elétrica,3094749,1168860,62942,15434170,5402440,3023909,960127,34306,15911636,4814607,3104530,812389,54179,17169051,4498224,2680931,518990,50003,17898437,4483066,2493509,334849,112209,16507433,4552683,2454518,24693,96664,16152794,4421653,1882724,316518,127392,13905014,3814027,779659,406880,87581,5390044,2739479,0,0,0,5419455,2682871
07.820.907/0001-46,CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.,Incorporação Imobiliária,33763,-8569,1453,173489,157677,5281,-21598,683,187281,167546,11488,-3719,1200,221893,197789,17094,-29203,927,230247,203003,29446,-26867,2472,290342,254077,19713,-28650,3881,422054,343913,109380,-12842,6420,583886,391464,157399,-26540,7457,669990,413615,195616,13312,7268,787859,441015
01.896.779/0001-38,CSU CARDSYSTEM S.A.,Terceirização em Administração E Processamento de Meios Eletrónicos de Pagamento. Infraestrutura E Gestão em Terceirização de Contact Center. Desenvolvimento E Gestão Operacional de Programas Market,433702,34087,7654,495706,257266,419771,44497,9908,393438,240835,486852,61236,12472,400562,223877,465825,47034,0,354459,193430,463570,25194,7214,375979,171176,397276,14505,3584,354922,159146,352801,-1136,-770,346355,153543,372976,29411,6992,337259,161317,397603,32224,7635,330937,151064
06.981.381/0001-13,CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,Com Sua Atuação em Biotecnologia E Melhoramento Genético O Ctc Busca Busca Promover O Aumento Da Produtividade. A Redução de Custos E Soluções Agrícolas E Industriais Para O Setor Sucroenergético.,186731,31427,12667,778575,579621,0,0,0,0,0,0,0,0,0,0,86496,-2820,-1488,691448,429326,75093,199,0,458722,332320,56875,7393,2138,274172,162119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02.998.611/0001-04,CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,Transmissão de Energia Elétrica,3305155,2155913,276796,21599094,13761607,3184654,2316644,407423,18542224,11299525,2701193,1981105,354491,17252173,11199656,7785616,7283246,79301,15066999,10297123,0,0,0,0,0,1102788,460207,50354,7142139,5228612,981168,-137268,55556,7010706,4912447,0,0,0,0,0,0,0,0,0,0
